__ROWNUM,Address1,Address2,City,State,Zip,Store,VIN
259,,,,NO,NOFIE,,4T1BF1FK9HU635062
264,,,,NO,NOFIE,,JTEBU5JR3K5618308
338,,,,NO,NOFIE,,JTEBU5JR8K5619096
781,,,,NO,NOFIE,,1FAHP3HN8AW201956
1011,,,,WA,,,JT4RN93PXK5006612
1068,,,,NO,NOFIE,,2T3A1RFV2KW001481
1537,,,,NO,NOFIE,,JTEBU5JR4K5655707
1560,,,,NO,NOFIE,,3TMDZ5BN0KM064374
1630,,,CHEHALIS,NO,NOFIE,,JTMN1RFVXKD510300
1699,,,CHEHALIS,NO,NOFIE,,JTNK4RBE4K3040668
2020,,,BREMERTON,WA,98312,,4T1BF1FKXGU596402
2363,,,,NO,NOFIE,,JTEBU5JR0K5693838
2364,,,,NO,NOFIE,,5TFCZ5AN5KX194397
2631,,,,NO,NOFIE,,1HD1JDB185Y082596
2758,,,BREMERTON,WA,98311,,1J8GL48K04W245251
2838,,,,NO,NOFIE,,3C4PDDBG2JT184723
2839,,,,NO,NOFIE,,JTKJF5C79GJ016185
2910,,,,NO,NOFIE,,JTEBU5JR9K5700298
3062,,,,NO,NOFIE,,JTMBFREV8GJ064775
3063,,,,NO,NOFIE,,1HGCR2F55EA294693
3064,,,,NO,NOFIE,,1C4PJMBS1FW524958
3065,,,,NO,NOFIE,,3C4PDCBB0DT562749
3501,,,,NO,NOFIE,,JTEBU5JR1K5712980
3649,,,,NO,NOFIE,,JTHCF1D21E5002426
3671,,,,NO,NOFIE,,1FAHP2E87FG122563
5395,,,,WA,,,5TFRX5GNXGX062668
5804,,,,NO,NOFIE,,1C4AJWAG8FL690135
6060,,,BREMERTON,WA,98312,,5TDBY5G12HS150570
6399,,,ALLYN,WA,98524,,JTMEWRFV1LD546380
6521,,,,NO,NOFIE,,5TETU22N46Z247715
8975,,,,NO,NOFIE,,WBA4Z3C51JEC58032
10222,,,,NO,NOFIE,,2T3BFREV6GW425583
10232,,,,NO,NOFIE,,JTDKN3DU9F0475650
10283,,,,NO,NOFIE,,4T1B61HK8JU143089
10485,,,BELFAIR,WA,98528,,5TDKK3DC9FS599222
17763,,,,NO,NOFIE,,5TFLA5DA4PX124087
23936,,,PORT ANGELES,WA,98363,,JTMDFREV2GJ059290
